指标,30min_baseline_601012_SH,30min_fixed20_601012_SH,30_60_fixed20_601012_SH,30min_baseline_688008_SH,30min_fixed20_688008_SH,30_60_fixed20_688008_SH
绝对收益,-0.0278,-0.0089,0.0584,0.6981,0.693,0.8784
年化收益,-0.0202,-0.0064,0.0424,0.507,0.5033,0.6379
夏普比率,-0.126,-0.0299,0.2443,1.5653,1.2437,1.7338
卡玛比率,-0.0996,-0.0314,0.3315,3.0372,1.8965,5.0233
新高占比,0.0893,0.098,0.0893,0.0951,0.098,0.1182
单笔盈亏比,1.5091,1.0124,1.2454,1.7552,1.699,2.7744
单笔收益,-1.69,-12.01,29.76,94.83,233.32,302.63
日胜率,0.83,0.7983,0.7867,0.7608,0.7608,0.683
周胜率,0.2,0.2267,0.2667,0.3067,0.3067,0.4267
月胜率,0.3333,0.3889,0.3889,0.4444,0.3333,0.5556
季胜率,0.5,0.5,0.5,0.6667,0.6667,0.6667
年胜率,1.0,1.0,1.0,1.0,1.0,1.0
最大回撤,0.2029,0.2035,0.1279,0.1669,0.2654,0.127
年化波动率,0.1605,0.2157,0.1735,0.3239,0.4047,0.3679
下行波动率,0.1522,0.1878,0.1387,0.2513,0.3192,0.2494
新高间隔,149.0,158.0,142.0,119.0,120.0,120.0
交易次数,6100,1900,1600,7500,3100,3100
年化交易次数,4429.97,1379.83,1161.96,5446.69,2251.3,2251.3
持仓K线数,12.74,52.32,52.66,13.33,37.32,39.08
交易胜率,0.3934,0.4737,0.5,0.5467,0.5806,0.5161
多头占比,0.2293,0.3122,0.3746,0.2962,0.3606,0.5322
空头占比,0.0,0.0,0.0,0.0,0.0,0.0
品种数量,1,1,1,1,1,1
开始日期,2025-01-02,2025-01-02,2025-01-02,2025-01-02,2025-01-02,2025-01-02
结束日期,2026-06-11,2026-06-11,2026-06-11,2026-06-11,2026-06-11,2026-06-11
